   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   2.6221446e+03
   6.3291140e-04   1.5928572e-05   9.9670090e-01   2.3916849e-11   7.0832614e+01
   1.3077628e-03   3.2693463e-05   9.9318318e-01   1.0066145e-10   1.6341033e+01
   2.0264105e-03   5.0299341e-05   9.8943718e-01   2.3884354e-10   6.6765437e+00
   2.7907351e-03   6.8746608e-05   9.8545314e-01   4.4775169e-10   3.4471594e+00
   3.6026386e-03   8.8030918e-05   9.8122120e-01   7.3734120e-10   2.0228882e+00
   4.4640419e-03   1.0814263e-04   9.7673152e-01   1.1182077e-09   1.2869741e+00
   5.3768815e-03   1.2906621e-04   9.7197431e-01   1.6015412e-09   8.6561061e-01
   6.3431072e-03   1.5077950e-04   9.6693990e-01   2.1990555e-09   6.0634717e-01
   7.3646796e-03   1.7325294e-04   9.6161894e-01   2.9228822e-09   4.3811639e-01
   8.4435660e-03   1.9644863e-04   9.5600253e-01   3.7854195e-09   3.2441515e-01
   9.5817400e-03   2.2031927e-04   9.5008244e-01   4.7991245e-09   2.4505880e-01
   1.0781175e-02   2.4480694e-04   9.4385144e-01   5.9762289e-09   1.8821938e-01
   1.2043842e-02   2.6984189e-04   9.3730366e-01   7.3283746e-09   1.4663302e-01
   1.3371712e-02   2.9534123e-04   9.3043502e-01   8.8661519e-09   1.1566292e-01
   1.4766743e-02   3.2120766e-04   9.2324381e-01   1.0598540e-08   9.2251633e-02
   1.6230891e-02   3.4732864e-04   9.1573122e-01   1.2532270e-08   7.4326682e-02
   1.7766092e-02   3.7357573e-04   9.0790207e-01   1.4671133e-08   6.0449512e-02
   1.9374270e-02   3.9980479e-04   8.9976540e-01   1.7015302e-08   4.9600804e-02
   2.1057330e-02   4.2585728e-04   8.9133511e-01   1.9560763e-08   4.1045208e-02
   2.2817155e-02   4.5156256e-04   8.8263040e-01   2.2298944e-08   3.4243904e-02
   2.4655607e-02   4.7674180e-04   8.7367597e-01   2.5216678e-08   2.8796714e-02
   2.6574520e-02   5.0121315e-04   8.6450196e-01   2.8296572e-08   2.4403007e-02
   2.8575702e-02   5.2479792e-04   8.5514343e-01   3.1517814e-08   2.0834799e-02
   3.0660925e-02   5.4732757e-04   8.4563953e-01   3.4857383e-08   1.7917861e-02
   3.2831933e-02   5.6865045e-04   8.3603215e-01   3.8291520e-08   1.5518240e-02
   3.5090435e-02   5.8863786e-04   8.2636438e-01   4.1797278e-08   1.3532457e-02
   3.7438102e-02   6.0718842e-04   8.1667879e-01   4.5353919e-08   1.1880250e-02
   3.9876562e-02   6.2411225e-04   8.0707200e-01   4.8919630e-08   1.0507492e-02
   4.2407408e-02   6.3913809e-04   7.9771333e-01   5.2421011e-08   9.3763361e-03
   4.5032185e-02   6.5218801e-04   7.8871540e-01   5.5811072e-08   8.4450995e-03
   4.7752395e-02   6.6336068e-04   7.8011164e-01   5.9081047e-08   7.6737007e-03
   5.0569497e-02   6.7279020e-04   7.7191559e-01   6.2231606e-08   7.0307520e-03
