0.000000000000e+00 0.000000000000e+00 1.000000000000e+00 0.000000000000e+00 7.079790230085e+01
6.329114000000e-04 6.227484554074e-06 9.912402170775e-01 2.872452991254e-15 8.081024666967e+00
1.307762800000e-03 1.265082930392e-05 9.818999935203e-01 3.193947568147e-14 2.173178303684e+00
2.026410500000e-03 1.924964528926e-05 9.719536922787e-01 1.511083629164e-13 8.842188040254e-01
2.790735100000e-03 2.600017248195e-05 9.613754398547e-01 4.698635518501e-13 4.500600298502e-01
3.602638600000e-03 3.287508101177e-05 9.501393941301e-01 1.150515419186e-12 2.623364934191e-01
4.464041900000e-03 3.984312268898e-05 9.382203448805e-01 2.418493852056e-12 1.673334929649e-01
5.376881500000e-03 4.686849416429e-05 9.255949675402e-01 4.572388316509e-12 1.138474776185e-01
6.343107200000e-03 5.390978738643e-05 9.122441529596e-01 7.989807527351e-12 8.133931311979e-02
7.364679600000e-03 6.091843181660e-05 8.981569962665e-01 1.312353644491e-11 6.039916630066e-02
8.443566000000e-03 6.783670596138e-05 8.833370291561e-01 2.048116405441e-11 4.626518586076e-02
9.581740000000e-03 7.459575827732e-05 8.678109315188e-01 3.058238303573e-11 3.633601925134e-02
1.078117500000e-02 8.111441151613e-05 8.516395298880e-01 4.389381658992e-11 2.910450714217e-02
1.204384200000e-02 8.730005064579e-05 8.349295730862e-01 6.075304602332e-11 2.365908767199e-02
1.337171200000e-02 9.305288691120e-05 8.178436498660e-01 8.130741434699e-11 1.943329777128e-02
1.476674300000e-02 9.827428409744e-05 8.006047366066e-01 1.054977589354e-10 1.607108656485e-02
1.623089100000e-02 1.028788524580e-04 7.834905650159e-01 1.331013786902e-10 1.334848763034e-02
1.776609200000e-02 1.068078980322e-04 7.668148172386e-01 1.638104134456e-10 1.112399023954e-02
1.937427000000e-02 1.100406083495e-04 7.508935219020e-01 1.972949706485e-10 9.304792559531e-03
2.105733000000e-02 1.125984233782e-04 7.360019144391e-01 2.332127994440e-10 7.823999345850e-03
2.281715500000e-02 1.145399916663e-04 7.223336640742e-01 2.711808666138e-10 6.626892603764e-03
2.465560700000e-02 1.159481229195e-04 7.099779874398e-01 3.107597528616e-10 5.664690892574e-03
2.657452000000e-02 1.169139827121e-04 6.989235761135e-01 3.514806876242e-10 4.893259894115e-03
2.857570200000e-02 1.175241668168e-04 6.890843303102e-01 3.928994040872e-10 4.273885001677e-03
3.066092500000e-02 1.178533361075e-04 6.803327790552e-01 4.346422443256e-10 3.774077803703e-03
3.283193300000e-02 1.179619238686e-04 6.725283293911e-01 4.764268466587e-10 3.367629301842e-03
3.509043500000e-02 1.178969724956e-04 6.655354369622e-01 5.180591635141e-10 3.033994771344e-03
3.743810200000e-02 1.176943081358e-04 6.592325773857e-01 5.594180897299e-10 2.757349181588e-03
3.987656200000e-02 1.173809413520e-04 6.535151551517e-01 6.004369336869e-10 2.525604353371e-03
4.240740800000e-02 1.169771876405e-04 6.482951196135e-01 6.410870101522e-10 2.329540267136e-03
4.503218500000e-02 1.164983663731e-04 6.434992008438e-01 6.813644786275e-10 2.162103823116e-03
4.775239500000e-02 1.159560910511e-04 6.390666791600e-01 7.212810602449e-10 2.017866383118e-03
