0.000000e+00 0.000000e+00 5.000000e-01 0.000000e+00 7.079790e+01 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00 7.079790e+01 0.000000e+00
6.329114e-04 2.918186e-02 4.904280e-01 9.926218e-08 8.081014e+00 2.312737e-12 6.329114e-04 5.494410e-06 9.904280e-01 3.518844e-15 8.081014e+00 4.354461e-16
1.307763e-03 5.914798e-02 4.802217e-01 1.103724e-06 2.173139e+00 9.562722e-11 1.307763e-03 1.113648e-05 9.802217e-01 3.912703e-14 2.173139e+00 1.800486e-14
2.026410e-03 8.978150e-02 4.693531e-01 5.221938e-06 8.841271e-01 1.112053e-09 2.026410e-03 1.690421e-05 9.693531e-01 1.851177e-13 8.841271e-01 2.093792e-13
2.790735e-03 1.209485e-01 4.577938e-01 1.623864e-05 4.498915e-01 6.795950e-09 2.790735e-03 2.277239e-05 9.577938e-01 5.756597e-13 4.498915e-01 1.279553e-12
3.602639e-03 1.524972e-01 4.455158e-01 3.977033e-05 2.620684e-01 2.857281e-08 3.602639e-03 2.871243e-05 9.455158e-01 1.409858e-12 2.620684e-01 5.379738e-12
4.464042e-03 1.842563e-01 4.324915e-01 8.363776e-05 1.669463e-01 9.432654e-08 4.464042e-03 3.469208e-05 9.324915e-01 2.964959e-12 1.669463e-01 1.775996e-11
5.376881e-03 2.160317e-01 4.186964e-01 1.582559e-04 1.133268e-01 2.629275e-07 5.376881e-03 4.067481e-05 9.186964e-01 5.610173e-12 1.133268e-01 4.950443e-11
6.343107e-03 2.476013e-01 4.041113e-01 2.769282e-04 8.067675e-02 6.462897e-07 6.343107e-03 4.661880e-05 9.041113e-01 9.817106e-12 8.067675e-02 1.216845e-10
7.364680e-03 2.787070e-01 3.887286e-01 4.558763e-04 5.959393e-02 1.440301e-06 7.364680e-03 5.247542e-05 8.887286e-01 1.616081e-11 5.959393e-02 2.711823e-10
8.443566e-03 3.090438e-01 3.725611e-01 7.137715e-04 4.532493e-02 2.965039e-06 8.443566e-03 5.818729e-05 8.725611e-01 2.530320e-11 4.532493e-02 5.582626e-10
